Num_Features,Sample_Size,Train_Preprocessing_Time_sec,Model_Train_Time_sec,Test_Inference_Time_sec,Accuracy,Precision,Recall,F1_Score,TN,FP,FN,TP
1,127946,0.07672405242919922,3.786444902420044,0.43337011337280273,0.7435326299335678,0.7794543380998333,0.6869491263336941,0.7302839764928287,10142,2514,4049,8885
2,127946,0.03612232208251953,3.078733205795288,0.33994174003601074,0.9207112153184838,0.9268101761252446,0.9154167310963353,0.9210782216344472,11721,935,1094,11840
3,127946,0.035124778747558594,2.913121461868286,0.32387375831604004,0.9210629152012505,0.927128991859737,0.915803309107778,0.9214313496693893,11725,931,1089,11845
4,127946,0.03406500816345215,2.9826271533966064,0.27982425689697266,0.9826885502149277,0.9793537493284212,0.9865470852017937,0.9829372568655395,12387,269,174,12760
5,127946,0.04272651672363281,2.5373964309692383,0.22972750663757324,0.995115279406018,0.9939838025453143,0.9963661666924385,0.995173558824665,12578,78,47,12887
6,127946,0.04018759727478027,2.5100646018981934,0.22052478790283203,0.9973427119968737,0.996987021013597,0.9977578475336323,0.9973722853388979,12617,39,29,12905
7,127946,0.046118736267089844,2.515932321548462,0.2195298671722412,0.9978116451738961,0.9974505562422744,0.9982217411473635,0.997835999690857,12623,33,23,12911
8,127946,0.04535961151123047,2.6223132610321045,0.22459673881530762,0.9977725674091442,0.9970663166833938,0.9985310035565177,0.9977981226098042,12618,38,19,12915
9,127946,0.049288034439086914,2.778567314147949,0.21783089637756348,0.9980461117624072,0.9974517374517374,0.9986856347610948,0.9980683047442437,12623,33,17,12917
10,127946,0.050445556640625,2.829376459121704,0.21661686897277832,0.9978898007033997,0.9973741118319431,0.9984536879542292,0.9979136079128352,12622,34,20,12914
11,127946,0.05569028854370117,2.8208167552948,0.21446824073791504,0.9978898007033997,0.9973741118319431,0.9984536879542292,0.9979136079128352,12622,34,20,12914
12,127946,0.05408000946044922,2.834617853164673,0.2156383991241455,0.9980070339976553,0.9973747200988341,0.9986856347610948,0.9980297469576976,12622,34,17,12917
13,127946,0.057112693786621094,2.8350110054016113,0.21559381484985352,0.9979679562329035,0.997451343836886,0.9985310035565177,0.9979908816938412,12623,33,19,12915
14,127946,0.062413692474365234,2.8867053985595703,0.2165203094482422,0.9980461117624072,0.9975285758418289,0.9986083191588062,0.9980681554748474,12624,32,18,12916
15,127946,0.06618976593017578,2.856786012649536,0.21756553649902344,0.9980851895271591,0.9975287667001312,0.9986856347610948,0.9981068655101804,12624,32,17,12917
16,127946,0.0682673454284668,3.1191928386688232,0.2115316390991211,0.9980851895271591,0.9975287667001312,0.9986856347610948,0.9981068655101804,12624,32,17,12917
17,127946,0.0713205337524414,3.1677632331848145,0.2154085636138916,0.9980461117624072,0.9974517374517374,0.9986856347610948,0.9980683047442437,12623,33,17,12917
18,127946,0.07922530174255371,3.266303777694702,0.21135640144348145,0.9981633450566627,0.997836668469443,0.9985310035565177,0.998183715268385,12628,28,19,12915
19,127946,0.07781791687011719,3.325920820236206,0.20900201797485352,0.9982415005861665,0.99791393030982,0.9986083191588062,0.9982610039803687,12629,27,18,12916
20,127946,0.08369135856628418,3.427137851715088,0.2161097526550293,0.9982024228214146,0.997913769123783,0.9985310035565177,0.9982222909259545,12629,27,19,12915
21,127946,0.08287453651428223,3.3973560333251953,0.2136390209197998,0.9981633450566627,0.9979905711415101,0.9983763723519407,0.9981834344683647,12630,26,21,12913
22,127946,0.0853433609008789,3.3975577354431152,0.2117154598236084,0.9980070339976553,0.9978359996908571,0.9982217411473635,0.9980288331465235,12628,28,23,12911
23,127946,0.09136176109313965,3.514986991882324,0.2166290283203125,0.9978116451738961,0.9976043276661515,0.9980671099427865,0.9978356651464791,12625,31,25,12909
24,127946,0.08928918838500977,3.523934841156006,0.2145981788635254,0.9976553341148886,0.9974497681607419,0.9979124787382093,0.9976810697997991,12623,33,27,12907
25,127946,0.09763669967651367,3.7561988830566406,0.2086176872253418,0.9978898007033997,0.9976816074188563,0.998144425545075,0.9979129628198191,12626,30,24,12910
26,127946,0.09911847114562988,3.9833080768585205,0.21555757522583008,0.997850722938648,0.9976045127888108,0.998144425545075,0.9978743961352657,12625,31,24,12910
27,127946,0.10444140434265137,3.966865062713623,0.21550440788269043,0.9979288784681516,0.9975280030899961,0.9983763723519407,0.9979520074191429,12624,32,21,12913
28,127946,0.1022181510925293,3.9754467010498047,0.21675586700439453,0.997850722938648,0.9974507531865585,0.998299056749652,0.9978747246802427,12623,33,22,12912
29,127946,0.1085512638092041,4.202803611755371,0.2195265293121338,0.9976553341148886,0.9975266656361107,0.9978351631359208,0.9976808905380334,12624,32,28,12906
30,127946,0.1082766056060791,4.12688684463501,0.22448992729187012,0.9975771785853849,0.997372488408037,0.9978351631359208,0.9976037721264589,12622,34,28,12906
31,127946,0.11354446411132812,4.291383981704712,0.22060775756835938,0.9977334896443923,0.9975270479134467,0.997989794340498,0.9977583674731391,12624,32,26,12908
32,127946,0.11270022392272949,4.307727575302124,0.22461700439453125,0.9976553341148886,0.9973728944521713,0.997989794340498,0.9976812490338538,12622,34,26,12908
33,127946,0.11854004859924316,4.428679943084717,0.23459887504577637,0.9976553341148886,0.9972960444993819,0.9980671099427865,0.997681428240204,12621,35,25,12909
34,127946,0.1255333423614502,4.4107208251953125,0.22444677352905273,0.997850722938648,0.9976045127888108,0.998144425545075,0.9978743961352657,12625,31,24,12910
35,127946,0.12458920478820801,4.42918848991394,0.22754502296447754,0.9976553341148886,0.9973728944521713,0.997989794340498,0.9976812490338538,12622,34,26,12908
