Num_Features,Sample_Size,Train_Preprocessing_Time_sec,Model_Train_Time_sec,Test_Inference_Time_sec,Accuracy,Precision,Recall,F1_Score,TN,FP,FN,TP,Selected_Features
1,127946,0.059999942779541016,0.14778804779052734,0.023000717163085938,0.8028917545916373,0.7829173838209983,0.8440544301840112,0.8123372274722823,9629,3027,2017,10917,Flow Duration
2,127946,0.045999765396118164,0.14299941062927246,0.01900196075439453,0.8851895271590465,0.8663685676587011,0.9137931034482759,0.8894491270319085,10833,1823,1115,11819,"Flow Duration,Tot Fwd Pkts"
3,127946,0.04500007629394531,0.15700006484985352,0.02100086212158203,0.9127002735443532,0.8977695167286245,0.9335858976341426,0.9153274711946634,11281,1375,859,12075,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts"
4,127946,0.04199862480163574,0.1770002841949463,0.018001556396484375,0.9899960922235248,0.9885925697548944,0.9916499149528375,0.9901188821985487,12508,148,108,12826,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts"
5,127946,0.05000042915344238,0.17699885368347168,0.020000696182250977,0.9912465806955842,0.9894485520640789,0.9932735426008968,0.9913573578208196,12519,137,87,12847,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts"
6,127946,0.048003196716308594,0.18099761009216309,0.0149993896484375,0.9912465806955842,0.9892224788298691,0.9935054894077625,0.9913593581237464,12516,140,84,12850,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max"
7,127946,0.05199933052062988,0.1979999542236328,0.016001462936401367,0.9913638139898397,0.9894509894509894,0.9935054894077625,0.9914740943636434,12519,137,84,12850,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min"
8,127946,0.05299997329711914,0.21200060844421387,0.016999244689941406,0.9912856584603361,0.989449364651521,0.9933508582031854,0.9913962730043597,12519,137,86,12848,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean"
9,127946,0.052999019622802734,0.23886466026306152,0.01800251007080078,0.9912075029308324,0.9893723527146707,0.9932735426008968,0.9913191095335467,12518,138,87,12847,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std"
10,127946,0.07000350952148438,0.2409989833831787,0.016997337341308594,0.9912856584603361,0.9892986373084918,0.9935054894077625,0.991397600586352,12517,139,84,12850,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max"
11,127946,0.07200050354003906,0.2859959602355957,0.019000768661499023,0.9913638139898397,0.9893002848125625,0.9936601206123395,0.9914754098360656,12517,139,82,12852,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min"
12,127946,0.0670020580291748,0.2720015048980713,0.017996788024902344,0.9914028917545916,0.9892257965214715,0.9938147518169167,0.9915149645171244,12516,140,80,12854,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean"
13,127946,0.06299877166748047,0.2709991931915283,0.017999887466430664,0.9912856584603361,0.9890727202770296,0.9937374362146281,0.9913995911913301,12514,142,81,12853,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std"
14,127946,0.0670003890991211,0.27899932861328125,0.014000892639160156,0.9913638139898397,0.9894509894509894,0.9935054894077625,0.9914740943636434,12519,137,84,12850,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s"
15,127946,0.08091259002685547,0.3020894527435303,0.016000032424926758,0.9917155138726065,0.9896089901477833,0.9940466986237823,0.9918228805060557,12521,135,77,12857,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s"
