Num_Features,Sample_Size,Train_Preprocessing_Time_sec,Model_Train_Time_sec,Test_Inference_Time_sec,Accuracy,Precision,Recall,F1_Score,TN,FP,FN,TP
1,12795,0.006001710891723633,0.024547338485717773,0.0,0.558421258304025,0.5353711790393013,0.9489164086687306,0.6845337800111669,203,1064,66,1226
2,12795,0.005995988845825195,0.005001068115234375,0.0,0.558421258304025,0.5353711790393013,0.9489164086687306,0.6845337800111669,203,1064,66,1226
3,12795,0.006047964096069336,0.004000425338745117,0.0,0.5881203595154357,0.5557116104868914,0.9187306501547987,0.6925320886814469,318,949,105,1187
4,12795,0.006000518798828125,0.009998321533203125,0.0,0.580695584212583,0.5532328633932913,0.8808049535603715,0.6796058524932815,348,919,154,1138
5,12795,0.005158424377441406,0.01104879379272461,0.0,0.580695584212583,0.5531811559009228,0.881578947368421,0.6797970754998507,347,920,153,1139
6,12795,0.007059335708618164,0.016096830368041992,0.0009999275207519531,0.618210238374365,0.6927784577723378,0.43808049535603716,0.5367472735893788,1016,251,726,566
7,12795,0.005999565124511719,0.018106937408447266,0.0009999275207519531,0.7971864009378663,0.746964856230032,0.9047987616099071,0.8183409170458522,871,396,123,1169
8,12795,0.006062984466552734,0.019057750701904297,0.0,0.8245408362641657,0.7693290734824281,0.9318885448916409,0.8428421421071053,906,361,88,1204
9,12795,0.009001493453979492,0.024175405502319336,0.0,0.8397811645173896,0.7705521472392638,0.9721362229102167,0.8596851471594797,893,374,36,1256
10,12795,0.005997657775878906,0.028197526931762695,0.0,0.8362641656897225,0.7686153846153846,0.9667182662538699,0.856359273225917,891,376,43,1249
11,12795,0.007000446319580078,0.034168243408203125,0.0,0.8429073856975381,0.7746913580246914,0.9713622291021672,0.8619505494505494,902,365,37,1255
12,12795,0.007052183151245117,0.044245243072509766,0.0,0.8440797186400938,0.7754472547809994,0.9729102167182663,0.86302780638517,903,364,35,1257
13,12795,0.007047176361083984,0.04722189903259277,0.0009999275207519531,0.8452520515826495,0.7755227552275523,0.9760061919504643,0.8642906100068539,902,365,31,1261
14,12795,0.00700068473815918,0.051077842712402344,0.0009968280792236328,0.8577569363032435,0.7936708860759494,0.9705882352941176,0.8732590529247912,941,326,38,1254
15,12795,0.007999897003173828,0.058403730392456055,0.0,0.8573661586557249,0.7976878612716763,0.9613003095975232,0.8718848718848718,952,315,50,1242
