Num_Features,Sample_Size,Train_Preprocessing_Time_sec,Model_Train_Time_sec,Test_Inference_Time_sec,Accuracy,Precision,Recall,F1_Score,TN,FP,FN,TP
1,12795,0.005130767822265625,0.0030019283294677734,0.0,0.5267682688550215,0.5171102661596958,0.9473684210526315,0.669035255534299,124,1143,68,1224
2,12795,0.0060656070709228516,0.0030007362365722656,0.0,0.5619382571316921,0.5378486055776892,0.9404024767801857,0.6843142776682625,223,1044,77,1215
3,12795,0.004999637603759766,0.004068136215209961,0.0,0.5517780382962094,0.5315904139433552,0.9442724458204335,0.6802341789796488,192,1075,72,1220
4,12795,0.006003379821777344,0.009101629257202148,0.0,0.5748339194998046,0.5459045904590459,0.9388544891640866,0.6903813318155949,258,1009,79,1213
5,12795,0.007067203521728516,0.014079570770263672,0.0010018348693847656,0.6506447831184057,0.5978367748279253,0.9411764705882353,0.73120865904991,449,818,76,1216
6,12795,0.0050008296966552734,0.015112161636352539,0.0,0.6600234466588512,0.6051844466600199,0.9396284829721362,0.7362037598544572,475,792,78,1214
7,12795,0.005997896194458008,0.025243043899536133,0.0,0.6979288784681517,0.8357050452781372,0.5,0.6256658595641647,1140,127,646,646
8,12795,0.004998922348022461,0.030172348022460938,0.0,0.6537710042985542,0.8874045801526718,0.35990712074303405,0.512114537444934,1208,59,827,465
9,12795,0.0050008296966552734,0.02810382843017578,0.0,0.6510355607659242,0.884393063583815,0.35526315789473684,0.5069022639425732,1207,60,833,459
10,12795,0.006000518798828125,0.04115104675292969,0.0,0.6502540054708871,0.8854368932038835,0.35294117647058826,0.5047039291643608,1208,59,836,456
11,12795,0.006055355072021484,0.03414463996887207,0.0,0.64673700664322,0.8803921568627451,0.3475232198142415,0.49833518312985575,1206,61,843,449
12,12795,0.006097316741943359,0.05227780342102051,0.0,0.6545525595935913,0.9146341463414634,0.34829721362229105,0.5044843049327354,1225,42,842,450
13,12795,0.005999326705932617,0.047281742095947266,0.0,0.6549433372411098,0.9131313131313131,0.3498452012383901,0.5058757694459989,1224,43,840,452
14,12795,0.007001399993896484,0.0421600341796875,0.001074075698852539,0.6533802266510356,0.9090909090909091,0.34829721362229105,0.5036373810856184,1222,45,842,450
15,12795,0.007996082305908203,0.0431523323059082,0.0,0.684251660805002,0.6230925737538149,0.9481424148606811,0.7519950890116636,526,741,67,1225
16,12795,0.008062362670898438,0.05584311485290527,0.0,0.684251660805002,0.6228426395939086,0.9496904024767802,0.7522992029429798,524,743,65,1227
17,12795,0.007066249847412109,0.04935169219970703,0.0,0.6846424384525205,0.6231589639410868,0.9496904024767802,0.7525298988040479,525,742,65,1227
18,12795,0.00801992416381836,0.053186655044555664,0.0,0.6846424384525205,0.6231589639410868,0.9496904024767802,0.7525298988040479,525,742,65,1227
19,12795,0.009092092514038086,0.05531167984008789,0.0,0.684251660805002,0.6225937183383992,0.9512383900928792,0.7526025719534598,522,745,63,1229
20,12795,0.008062362670898438,0.05626416206359863,0.0010030269622802734,0.8182883939038686,0.8531169940222032,0.7732198142414861,0.8112058465286237,1095,172,293,999
21,12795,0.00805521011352539,0.06327986717224121,0.0,0.7592809691285658,0.6898876404494382,0.9504643962848297,0.7994791666666666,715,552,64,1228
22,12795,0.009997129440307617,0.05624556541442871,0.0009982585906982422,0.7616256350136772,0.6926553672316385,0.9489164086687306,0.8007838014369694,723,544,66,1226
23,12795,0.009047269821166992,0.05934929847717285,0.0,0.8940992575224697,0.8299935358758889,0.9938080495356038,0.9045438534695316,1004,263,8,1284
