Num_Features,Sample_Size,Train_Preprocessing_Time_sec,Model_Train_Time_sec,Test_Inference_Time_sec,Accuracy,Precision,Recall,F1_Score,TN,FP,FN,TP,Selected_Features
15,12795,0.0874636173248291,0.06799745559692383,0.002003908157348633,0.8573661586557249,0.7976878612716763,0.9613003095975232,0.8718848718848718,952,315,50,1242,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s"
14,12795,0.12658262252807617,0.05444526672363281,0.0,0.8577569363032435,0.7936708860759494,0.9705882352941176,0.8732590529247912,941,326,38,1254,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s"
13,12795,0.25270581245422363,0.06940197944641113,0.0,0.8577569363032435,0.79404309252218,0.9698142414860681,0.8731707317073171,942,325,39,1253,"Flow Duration,Tot Fwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s"
12,12795,0.23645806312561035,0.04419875144958496,0.0010025501251220703,0.8577569363032435,0.79404309252218,0.9698142414860681,0.8731707317073171,942,325,39,1253,"Flow Duration,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s"
11,12795,0.2762181758880615,0.04027199745178223,0.0,0.8581477139507621,0.7941735275490817,0.9705882352941176,0.8735632183908046,942,325,38,1254,"Flow Duration,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s"
10,12795,0.2895371913909912,0.015052080154418945,0.0,0.8581477139507621,0.7941735275490817,0.9705882352941176,0.8735632183908046,942,325,38,1254,"Flow Duration,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s"
9,12795,0.30455613136291504,0.013117551803588867,0.0,0.8499413833528722,0.774818401937046,0.9907120743034056,0.8695652173913043,895,372,12,1280,"Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s"
8,12795,0.3156299591064453,0.01204824447631836,0.0,0.8499413833528722,0.774818401937046,0.9907120743034056,0.8695652173913043,895,372,12,1280,"Fwd Pkt Len Max,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s"
7,12795,0.32569026947021484,0.010057210922241211,0.0,0.8495506057053537,0.7750151607034567,0.9891640866873065,0.8690921455287318,896,371,14,1278,"Fwd Pkt Len Max,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Std,Flow Byts/s"
6,12795,0.3337721824645996,0.007999897003173828,0.0,0.8307932786244627,0.7692789968652037,0.9496904024767802,0.8500173190162799,899,368,65,1227,"Fwd Pkt Len Max,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Flow Byts/s"
5,12795,0.34693408012390137,0.009058475494384766,0.0,0.8522860492379836,0.7766343825665859,0.9930340557275542,0.8716032608695653,898,369,9,1283,"Fwd Pkt Len Max,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Min,Flow Byts/s"
4,12795,0.347198486328125,0.0070531368255615234,0.0,0.8487690504103166,0.774076317383404,0.9891640866873065,0.8685015290519877,894,373,14,1278,"Fwd Pkt Len Max,Fwd Pkt Len Mean,Fwd Pkt Len Std,Flow Byts/s"
3,12795,0.35191917419433594,0.005000114440917969,0.0,0.8327471668620555,0.7532239155920282,0.9945820433436533,0.857238158772515,846,421,7,1285,"Fwd Pkt Len Max,Fwd Pkt Len Mean,Fwd Pkt Len Std"
2,12795,0.3601861000061035,0.003998994827270508,0.0,0.6697928878468151,0.7683073229291717,0.4953560371517028,0.6023529411764706,1074,193,652,640,"Fwd Pkt Len Max,Fwd Pkt Len Std"
1,12795,0.36218953132629395,0.0020542144775390625,0.0,0.6271981242672919,0.7007125890736342,0.456656346749226,0.5529522024367385,1015,252,702,590,Fwd Pkt Len Std
