Num_Features,Sample_Size,Train_Preprocessing_Time_sec,Model_Train_Time_sec,Test_Inference_Time_sec,Accuracy,Precision,Recall,F1_Score,TN,FP,FN,TP
1,12795,0.02307271957397461,6.7176673412323,0.0009999275207519531,0.7006643220007815,0.7217537942664418,0.6625386996904025,0.6908797417271993,937,330,436,856
4,12795,0.006079435348510742,8.83760118484497,0.0009996891021728516,0.8866744822196171,0.881859756097561,0.8955108359133127,0.8886328725038404,1112,155,135,1157
7,12795,0.008999824523925781,9.742473602294922,0.0009999275207519531,0.9624853458382181,0.9544072948328267,0.9721362229102167,0.9631901840490797,1207,60,36,1256
10,12795,0.009079217910766602,10.219043970108032,0.0010013580322265625,0.9761625635013678,0.9610486891385768,0.9930340557275542,0.9767795964979062,1215,52,9,1283
13,12795,0.010001182556152344,9.33420729637146,0.001001119613647461,0.9773348964439235,0.9646084337349398,0.9914860681114551,0.9778625954198474,1220,47,11,1281
16,12795,0.012140750885009766,6.981329441070557,0.0010020732879638672,0.9788980070339977,0.9647147147147147,0.9945820433436533,0.9794207317073171,1220,47,7,1285
19,12795,0.011998653411865234,8.85614800453186,0.0010013580322265625,0.9820242282141461,0.9705438066465257,0.9945820433436533,0.9824159021406728,1228,39,7,1285
22,12795,0.01399993896484375,10.612014770507812,0.00099945068359375,0.9910121141070731,0.9877017678708686,0.9945820433436533,0.9911299652911685,1251,16,7,1285
25,12795,0.013083696365356445,10.666728496551514,0.0020003318786621094,0.9910121141070731,0.9907192575406032,0.9914860681114551,0.9911025145067699,1255,12,11,1281
28,12795,0.014066696166992188,4.1796345710754395,0.0009996891021728516,0.9835873388042204,0.9770992366412213,0.9907120743034056,0.983858570330515,1237,30,12,1280
31,12795,0.01416325569152832,7.047105550765991,0.0009999275207519531,0.9890582258694802,0.9869029275808937,0.9914860681114551,0.9891891891891893,1250,17,11,1281
34,12795,0.015000104904174805,5.63691782951355,0.0010013580322265625,0.9882766705744431,0.9891472868217054,0.9876160990712074,0.9883810999225406,1253,14,16,1276
37,12795,0.01609969139099121,7.4278504848480225,0.0009999275207519531,0.9886674482219617,0.9906759906759907,0.9868421052631579,0.9887553315238464,1255,12,17,1275
40,12795,0.016092300415039062,5.732029914855957,0.0010006427764892578,0.9906213364595545,0.9899536321483772,0.9914860681114551,0.9907192575406032,1254,13,11,1281
43,12795,0.017072439193725586,9.353815793991089,0.0009999275207519531,0.9914028917545916,0.990726429675425,0.9922600619195047,0.991492652745553,1255,12,10,1282
46,12795,0.01915287971496582,5.1460607051849365,0.0019981861114501953,0.9871043376318874,0.9823754789272031,0.9922600619195047,0.9872930304197152,1244,23,10,1282
49,12795,0.018078088760375977,5.685239553451538,0.0010004043579101562,0.9917936694021102,0.9907335907335907,0.9930340557275542,0.9918824893699265,1255,12,9,1283
52,12795,0.020282506942749023,4.23094367980957,0.0010001659393310547,0.9929660023446659,0.9915123456790124,0.9945820433436533,0.9930448222565688,1256,11,7,1285
55,12795,0.02199840545654297,5.315802097320557,0.0010013580322265625,0.9929660023446659,0.9930340557275542,0.9930340557275542,0.9930340557275542,1258,9,9,1283
58,12795,0.022998809814453125,5.107679128646851,0.0010004043579101562,0.9921844470496287,0.9937888198757764,0.9907120743034056,0.9922480620155039,1259,8,12,1280
61,12795,0.025163888931274414,4.6273558139801025,0.002062082290649414,0.993747557639703,0.9945736434108527,0.9930340557275542,0.9938032532920218,1260,7,9,1283
64,12795,0.023229360580444336,3.4381461143493652,0.0010743141174316406,0.9929660023446659,0.9930340557275542,0.9930340557275542,0.9930340557275542,1258,9,9,1283
67,12795,0.023195743560791016,4.836042642593384,0.0009987354278564453,0.9941383352872216,0.9953452288595811,0.9930340557275542,0.9941882991088725,1261,6,9,1283
70,12795,0.023999691009521484,4.434128046035767,0.0010001659393310547,0.9949198905822587,0.9945862335653519,0.9953560371517027,0.9949709864603481,1260,7,6,1286
73,12795,0.022255897521972656,5.160234451293945,0.0010023117065429688,0.9953106682297772,0.9945904173106646,0.9961300309597523,0.9953596287703016,1260,7,5,1287
76,12795,0.02706122398376465,4.28265643119812,0.0009999275207519531,0.9949198905822587,0.9930609097918273,0.9969040247678018,0.9949787562765546,1258,9,4,1288
79,12795,0.027065277099609375,4.685642719268799,0.002063751220703125,0.9957014458772958,0.9945945945945946,0.9969040247678018,0.9957479706223424,1260,7,4,1288
1,1279,0.023151397705078125,0.12667322158813477,0.0,0.6171875,0.6451612903225806,0.48,0.5504587155963303,98,33,65,60
4,1279,0.0030002593994140625,1.10908842086792,0.0009999275207519531,0.7890625,0.7076023391812866,0.968,0.8175675675675674,81,50,4,121
7,1279,0.005095243453979492,1.235203742980957,0.0,0.9609375,0.9259259259259259,1.0,0.9615384615384615,121,10,0,125
10,1279,0.005000114440917969,1.1819565296173096,0.0,0.9765625,0.9541984732824428,1.0,0.9765625,125,6,0,125
13,1279,0.004059314727783203,1.1565124988555908,0.0,0.96484375,0.9328358208955224,1.0,0.9652509652509652,122,9,0,125
16,1279,0.006000995635986328,1.0619614124298096,0.0,0.97265625,0.946969696969697,1.0,0.9727626459143969,124,7,0,125
19,1279,0.00500178337097168,1.23530912399292,0.0010700225830078125,0.98046875,0.9615384615384616,1.0,0.9803921568627451,126,5,0,125
22,1279,0.004065275192260742,1.1288843154907227,0.0,0.98828125,0.9765625,1.0,0.9881422924901185,128,3,0,125
25,1279,0.004049777984619141,1.3328759670257568,0.0,0.984375,0.9689922480620154,1.0,0.9842519685039369,127,4,0,125
28,1279,0.003999471664428711,1.2469635009765625,0.0,0.98046875,0.9615384615384616,1.0,0.9803921568627451,126,5,0,125
31,1279,0.006999969482421875,1.4412693977355957,0.0,0.98828125,0.9765625,1.0,0.9881422924901185,128,3,0,125
34,1279,0.004999399185180664,1.1149706840515137,0.0,0.98828125,0.9765625,1.0,0.9881422924901185,128,3,0,125
37,1279,0.00811314582824707,1.3479609489440918,0.0009999275207519531,0.9765625,0.9541984732824428,1.0,0.9765625,125,6,0,125
40,1279,0.008120298385620117,1.0381827354431152,0.0,0.98828125,0.9765625,1.0,0.9881422924901185,128,3,0,125
43,1279,0.006116390228271484,1.0232529640197754,0.0,0.98046875,0.9615384615384616,1.0,0.9803921568627451,126,5,0,125
46,1279,0.006000995635986328,1.1381125450134277,0.0,0.98828125,0.9765625,1.0,0.9881422924901185,128,3,0,125
49,1279,0.005999565124511719,0.9953594207763672,0.0,0.9921875,0.984251968503937,1.0,0.9920634920634921,129,2,0,125
52,1279,0.005999565124511719,0.8756024837493896,0.0,0.98046875,0.9615384615384616,1.0,0.9803921568627451,126,5,0,125
55,1279,0.006068229675292969,0.845517635345459,0.0,0.98828125,0.9765625,1.0,0.9881422924901185,128,3,0,125
58,1279,0.00706028938293457,0.7168741226196289,0.0,0.9921875,0.984251968503937,1.0,0.9920634920634921,129,2,0,125
61,1279,0.007999658584594727,1.1016621589660645,0.0,0.99609375,0.9920634920634921,1.0,0.9960159362549801,130,1,0,125
64,1279,0.00806570053100586,0.9007306098937988,0.0009996891021728516,0.9921875,0.984251968503937,1.0,0.9920634920634921,129,2,0,125
67,1279,0.0070798397064208984,0.9476406574249268,0.0009999275207519531,0.99609375,0.9920634920634921,1.0,0.9960159362549801,130,1,0,125
70,1279,0.0070798397064208984,0.81492018699646,0.0,0.9921875,0.984251968503937,1.0,0.9920634920634921,129,2,0,125
73,1279,0.009074211120605469,0.6282947063446045,0.0,0.9921875,0.984251968503937,1.0,0.9920634920634921,129,2,0,125
76,1279,0.008060216903686523,0.6281332969665527,0.0,0.9921875,0.984251968503937,1.0,0.9920634920634921,129,2,0,125
79,1279,0.008064031600952148,0.5721011161804199,0.0009984970092773438,0.98828125,0.9765625,1.0,0.9881422924901185,128,3,0,125
