Num_Features,Sample_Size,Train_Preprocessing_Time_sec,Model_Train_Time_sec,Test_Inference_Time_sec,Accuracy,Precision,Recall,F1_Score,TN,FP,FN,TP,Selected_Features
15,12795,0.7918157577514648,0.7620010375976562,0.021000146865844727,0.9855412270418132,0.9890880748246298,0.9821981424148607,0.9856310679611652,1253,14,23,1269,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s"
14,12795,1.5458319187164307,0.7520003318786621,0.01999974250793457,0.9867135599843689,0.9891135303265941,0.9845201238390093,0.9868114817688131,1253,14,20,1272,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Flow Byts/s,Flow Pkts/s"
13,12795,2.2842397689819336,0.7370009422302246,0.02099895477294922,0.9859320046893317,0.9883359253499222,0.9837461300309598,0.9860356865787432,1252,15,21,1271,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Flow Byts/s,Flow Pkts/s"
12,12795,3.0714802742004395,0.7649996280670166,0.020000696182250977,0.9863227823368503,0.9891050583657588,0.9837461300309598,0.986418315871168,1253,14,21,1271,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Flow Byts/s,Flow Pkts/s"
11,12795,3.8150839805603027,0.7240002155303955,0.020000934600830078,0.9867135599843689,0.9891135303265941,0.9845201238390093,0.9868114817688131,1253,14,20,1272,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Flow Pkts/s"
10,12795,4.569150924682617,0.7735686302185059,0.02000117301940918,0.9863227823368503,0.9883449883449883,0.9845201238390093,0.9864288483908491,1252,15,20,1272,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Flow Pkts/s"
9,12795,5.352258682250977,0.762784481048584,0.020000696182250977,0.9855412270418132,0.9883268482490273,0.9829721362229102,0.9856422196352348,1252,15,22,1270,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Flow Pkts/s"
8,12795,6.000426530838013,0.6229114532470703,0.020000457763671875,0.9855412270418132,0.9875679875679876,0.9837461300309598,0.9856533540131834,1251,16,21,1271,"Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Mean,Fwd Pkt Len Std,Flow Pkts/s"
7,12795,6.728601932525635,0.6940000057220459,0.021000385284423828,0.9820242282141461,0.9844479004665629,0.9798761609907121,0.982156710628394,1247,20,26,1266,"Flow Duration,Tot Fwd Pkts,TotLen Fwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Mean,Fwd Pkt Len Std,Flow Pkts/s"
6,12795,7.43223762512207,0.7265298366546631,0.020999670028686523,0.9824150058616647,0.9852140077821012,0.9798761609907121,0.9825378346915018,1248,19,26,1266,"Flow Duration,Tot Fwd Pkts,TotLen Fwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Mean,Flow Pkts/s"
5,12795,8.111226320266724,0.6395411491394043,0.01999950408935547,0.977725674091442,0.980544747081712,0.9752321981424149,0.9778812572759021,1242,25,32,1260,"Flow Duration,Tot Fwd Pkts,TotLen Fwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Mean"
4,12795,8.873508214950562,0.6740007400512695,0.019999027252197266,0.9781164517389606,0.9805598755832037,0.9760061919504643,0.978277734678045,1242,25,31,1261,"Flow Duration,Tot Fwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Mean"
3,12795,9.60162878036499,0.6489992141723633,0.022998571395874023,0.9515435717076983,0.9634920634920635,0.9396284829721362,0.95141065830721,1221,46,78,1214,"Flow Duration,Fwd Pkt Len Max,Fwd Pkt Len Mean"
2,12795,10.1352379322052,0.6560013294219971,0.02299952507019043,0.9515435717076983,0.9627575277337559,0.9404024767801857,0.951448707909162,1220,47,77,1215,"Flow Duration,Fwd Pkt Len Max"
1,12795,10.398695707321167,0.24899983406066895,0.017000198364257812,0.8683079327862446,0.7975077881619937,0.9907120743034056,0.8836727649292372,942,325,12,1280,Fwd Pkt Len Max
